句子,原始模型_查询服务器信息,原始模型_服务器现在开着吗,finetuned模型_查询服务器信息,finetuned模型_服务器现在开着吗
服现在正常吗？,-0.10856519639492035,0.17530883848667145,0.061019327491521835,0.44357389211654663
服有开吗？,-0.020472794771194458,0.17092737555503845,0.30500733852386475,0.6142739057540894
服能连接吗？,0.1393675059080124,0.19650787115097046,0.26955488324165344,0.37628060579299927
服正在运行吗？,0.06049750745296478,0.2989251911640167,0.2594377398490906,0.6491141319274902
服现在是否开启？,0.009364837780594826,0.4807492792606354,0.17563749849796295,0.8357118368148804
能帮我查下服状态吗？,0.2764669954776764,0.23902085423469543,0.4662562906742096,0.34291690587997437
服还在线吗？,0.13386186957359314,0.26594942808151245,0.2484733760356903,0.41065582633018494
服是不是能连？,-0.02461480163037777,0.05299881845712662,0.2945939004421234,0.3021761476993561
服现在正常运行吗？,-0.0458633191883564,0.28662610054016113,0.12985113263130188,0.6157766580581665
服能加入吗？,-0.044154092669487,0.021729033440351486,0.2942083775997162,0.33445408940315247
服能玩起来吗？,-0.08662047982215881,-0.047687266021966934,0.1828024983406067,0.22992533445358276
服现在是否可以加入？,-0.01734290085732937,0.2554660439491272,0.1992572546005249,0.4921250343322754
服状态如何？,0.15633219480514526,0.1873355209827423,0.3805508017539978,0.32228004932403564
服是否可以进入？,0.018046844750642776,0.10466320812702179,0.2944276034832001,0.33709925413131714
服的状态能检查一下吗？,0.2178255021572113,0.17744702100753784,0.41671910881996155,0.33530041575431824
服是开着的吧？,-0.01448814570903778,0.1393827199935913,0.2716197073459625,0.5481709241867065
服可不可以玩？,-0.03705601021647453,0.03259003534913063,0.14072199165821075,0.14602558314800262
服是否能连接？,0.12545572221279144,0.2049902081489563,0.28601574897766113,0.41804200410842896
服是不是正常的？,-0.07955895364284515,0.0514192171394825,0.1096431165933609,0.23901240527629852
服能上去吗？,-0.007142786867916584,0.07801520824432373,0.2544551491737366,0.32192298769950867
服还能玩吗？,-0.11405034363269806,-0.006360410246998072,0.11313948780298233,0.2542586624622345
服是否正常？,-0.07624538242816925,0.056335750967264175,0.12399686127901077,0.2690091133117676
服还可以玩吗？,-0.09755215793848038,-0.052099067717790604,0.1248202845454216,0.15734536945819855
服当前能用吗？,-0.060098908841609955,0.13143789768218994,0.2305811047554016,0.5063130259513855
服有问题吗？,-0.0971832424402237,-0.001938508590683341,0.265435129404068,0.18109114468097687
服是否开启了？,0.030495572835206985,0.3500622510910034,0.24131928384304047,0.749697744846344
现在服在线吗？,0.15457095205783844,0.3481559455394745,0.26748406887054443,0.5225571393966675
服已经开了吗？,-0.04986187443137169,0.3330308198928833,0.14932210743427277,0.7767818570137024
服可以加入了吗？,-0.018004391342401505,0.061139509081840515,0.29210737347602844,0.33546555042266846
你能帮我看看服状态吗？,0.19426651298999786,0.2017732411623001,0.36658185720443726,0.2994695007801056
服还能连上去吗？,-0.04606451839208603,0.06172008439898491,0.208856463432312,0.3383095860481262
服在开吗？,-0.007414571940898895,0.22856581211090088,0.30375581979751587,0.6567535400390625
服能进去玩吗？,-0.008719533681869507,0.06990785896778107,0.23363880813121796,0.2897889316082001
你能检查下服现在吗？,0.14408878982067108,0.2713882625102997,0.35211262106895447,0.5129597187042236
你服不服我这个操作？,0.10069971531629562,0.06094272434711456,0.20198974013328552,0.07160614430904388
这件衣服很服帖，穿着很舒服。,-0.07615043222904205,-0.03951451554894447,0.05804230272769928,0.08594957739114761
服了，这次真的没想到。,-0.13459883630275726,0.07591887563467026,-0.07657378166913986,0.12269172817468643
你就服我这波操作，绝了。,0.012806770391762257,0.08357023447751999,0.08778765797615051,0.11781731247901917
这鞋子真舒服，穿了一天脚都不累。,-0.06787558645009995,-0.03054823726415634,0.0018816972151398659,0.045103445649147034
你也太能服人了吧！,0.024920644238591194,-0.02115076780319214,0.1453857123851776,0.011586381122469902
这家店的衣服我服气，质量超好。,0.06959956884384155,0.06283209472894669,0.17599014937877655,0.14106422662734985
今天这餐真是服了，太好吃了！,0.08880337327718735,0.14046651124954224,0.08436914533376694,0.1708737462759018
你竟然敢说这种话，真服了。,-0.008621856570243835,-0.02633002959191799,0.11624761670827866,0.031631674617528915
今天穿得轻松点，没心情正式服装。,-0.17407721281051636,-0.010257245041429996,-0.06408064067363739,0.141350656747818
你服不服这个解释？,-0.07959604263305664,-0.06951512396335602,0.03750979155302048,-0.022629281505942345
这个游戏我真是服了，根本赢不了。,-0.09238109737634659,-0.011378723196685314,-0.08225705474615097,-0.03859554976224899
这件衣服太合身了，穿上特别服气。,-0.15773767232894897,-0.10199042409658432,-0.021955901756882668,0.019795861095190048
你能服下这道题吗？,0.12041319161653519,0.016221143305301666,0.30231207609176636,0.10537316650152206
刚刚那波操作我是真的服了。,-0.040495503693819046,0.10365800559520721,0.03745001181960106,0.18368801474571228
今天又买了新衣服，舒服又好看。,-0.09378861635923386,0.05533554404973984,-0.0033935988321900368,0.2153138369321823
真服气你，啥都敢做。,0.01365348044782877,-0.016721807420253754,0.1515595018863678,0.02375764772295952
这道题我服了，完全没想到。,-0.09191398322582245,-0.08604487776756287,0.00945980567485094,-0.04129747673869133
穿这鞋子走路贼舒服，脚不疼。,-0.06357192993164062,-0.10933207720518112,0.03614325448870659,-0.035562627017498016
你服气吗，竟然被我猜中了？,0.051106467843055725,0.12734253704547882,0.1837625801563263,0.19474487006664276
就是穿这款衣服，走路感觉很服贴。,-0.1216246634721756,-0.13072718679904938,0.03685551881790161,-0.006464681588113308
你就服我的脑袋，想得太周到。,0.010855288244783878,-0.01693648286163807,0.1350405216217041,0.024603409692645073
你也太能服我了，怎么那么聪明？,0.09904231876134872,-0.0006258981302380562,0.23649638891220093,0.020831966772675514
这次真的服了你，没想到你能做到。,-0.06820035725831985,-0.023078497499227524,0.009733527898788452,-0.01727285422384739
你确定这条裤子很合适？我觉得不太服。,-0.09668903052806854,0.01463234145194292,0.01706656627357006,0.11927871406078339
这条裙子穿上太舒服了，喜欢！,-0.11741691082715988,-0.03954166918992996,0.01616249978542328,0.08834235370159149
你说的对，我服你了。,0.06012016907334328,0.05163026228547096,0.1830497682094574,0.11757706850767136
今天在店里试了几件衣服，都挺服的。,0.043530452996492386,0.014006789773702621,0.20326849818229675,0.13472868502140045
这款手机壳我觉得挺服的，摸起来很舒服。,-0.04047051817178726,0.0331936776638031,0.041334472596645355,0.09198348224163055
刚才那局我完全服了，没法反击。,-0.15766169130802155,0.021223880350589752,-0.12140531092882156,0.056636180728673935
今天选了件好看衣服，感觉超级服气。,-0.13579416275024414,-0.04979591444134712,-0.0030530751682817936,0.10022907704114914
你对这个真心服，没想到这么厉害。,-0.08450149744749069,-0.07666830718517303,-0.0034098373726010323,-0.059851936995983124
这顿饭，我服了，太好吃了。,0.004809505771845579,0.04021628573536873,-0.006370614282786846,0.025488104671239853
这家餐馆的服务真服，效率高。,0.3295314908027649,0.29297536611557007,0.27804693579673767,0.21634945273399353
今天穿的新鞋特别舒服，走路超有感。,-0.11973679065704346,-0.0047906748950481415,-0.027450058609247208,0.137602761387825
今天的运动服我挑了很久，终于选定了。,-0.0944586768746376,-0.032329633831977844,0.07086528837680817,0.13530313968658447
就是这条裤子，穿着服气又舒服。,-0.03326156362891197,0.016410915181040764,0.1019514873623848,0.13411939144134521
你对这个游戏操作服了没？,0.05627951771020889,0.19850914180278778,0.1732412576675415,0.3072326183319092
今天心情不错，穿了件超舒服的衣服。,-0.07588279992341995,0.10821142792701721,0.01110842451453209,0.2519792318344116
你能服下这份工作量吗？,0.17788994312286377,0.10110369324684143,0.2980358302593231,0.11799106001853943
昨天换的外套，穿着真服气。,-0.13062532246112823,0.016802659258246422,0.0008040142129175365,0.18796634674072266
我真服了你，什么都能搞定。,0.043291158974170685,0.06810953468084335,0.16097335517406464,0.1294407695531845
听说你家衣服很服，带我去看看？,0.02284781076014042,0.03062567114830017,0.19163396954536438,0.15820448100566864
刚试的鞋子太舒适了，真是服了。,-0.15830358862876892,-0.07360536605119705,-0.06333363056182861,0.013173680752515793
你今天的衣服好看，真是很服气。,-0.04714221879839897,0.057600460946559906,0.08149790018796921,0.20420819520950317
这款T恤穿着舒服，我喜欢！,0.0023938524536788464,0.04896468296647072,0.07007461786270142,0.13006864488124847
你这身搭配真服，简直是时尚icon。,-0.07326307892799377,-0.049643222242593765,0.08827835321426392,0.0706075131893158
今天穿新鞋走了一天，脚好舒服。,-0.0969160795211792,0.04341411590576172,-0.01638515666127205,0.17666900157928467
这段话，我服你说得真好。,0.0746435821056366,0.0006204601377248764,0.19763953983783722,0.05567258968949318
那个操作简直是服了，太厉害了。,-0.0688079372048378,-0.007769264280796051,-0.02889695018529892,0.0011703812051564455
